,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
67900,Administrative Assistant,OfficeTeam,Aurora,Colorado,"Ref ID: 00620-125404Classification: Secretary/Admin AsstCompensation: $18.52 to $21.45 per hourOur client, a growing firm, is looking to hire an Project Assistant / Sales Assistant to assist with processing orders, placing orders, and keeping track of equipment. This is a dynamic position for the Project Assistant who is organized and committed to the profession. The ideal Project Assistant will be able to operate basic office equipment, complete general office work, sort and route incoming materials, etc. Additionally the position may require computer and data entry skills so a proficiency in Microsoft Word and Microsoft Excel is preferred. Contact us today our client is eager to hire! 303.694.9700 or www.officeteam.com",Seasonal/Temp,Not Specified
11248,Teller - Part-time,Wells Fargo,Spruce Pine,North Carolina,"Our vision is to satisfy all our customers' financial needs and help them succeed financially. It is about building lifelong relationships one customer at a time.Come join the fun!Tellers are the face of our company and represent Wells Fargo in the community.  A teller position with our team offers an opportunity to be part of one of America’s greatest companies.  You'll have exposure to a variety of responsibilities, people and experiences in a professional work environment – that is part of the fun! We value what’s right for our customers in everything we do.  Everything we do, we do to protect the customer and the bank.   Our teller’s role is to warmly welcome customers to our store, efficiently process the customer’s request, and build trust that Wells Fargo can help them with all of their financial needs.We want them to know about all of our innovative services, financial education information, as well as take advantage of the relationships we provide as Wells Fargo team members. Every teller is part of a team that is rated first, and most importantly, on the customers’ experience with the teams’ service. Every teller has her/his own scorecard with performance goals.  Our best tellers constantly go the extra mile to greet customers and provide exceptional customer service, make them feel welcome and also engage them to learn about their financial goals.Your exciting role includes: Going the extra mile to greet customers, show them that we care, and make them feel welcome Asking questions to learn about their financial needs and, when the customer sees the value, introducing them to other Wells Fargo team members. Setting performance goals and working with your manager to increase your customer advocacy effectiveness through feedback and coaching Processing between 20-25 customer transactions each hour with no mistakes through patience, attention to detail, and the ability to follow procedures. Accurately maintaining and balancing a cash drawer. Delivering upon customer needs for products such as safe deposit boxes, merchant/vault, ATM processing, bonds and coupons, foreign currency and night drop.A happy, satisfied customer starts with you!At Wells Fargo, we have an outstanding diverse team. We want people who pitch in and help others without being asked. We want team members who are committed to the success of the team. Tellers develop and improve their skills through training programs and regular feedback discussions with supervisors, to help them improve in their current role and further their professional development. Many of our managers and senior leaders started their career as a teller. With an organization the size of Wells Fargo, there are multiple opportunities to learn and grow and explore career options over time.  Our vision and values supports developing and engaging our team members.Before you apply: email address requirementIn the Contact Information section of your application, please use an email address that accepts emails from outside of Wells Fargo. This will ensure that you receive any emails from the third-party systems that support our job application process.You can use:• Your Wells Fargo email address, if it is valid for external email. Please check your email type first (instructions below).• Your personal email address. Note: If you have previously registered on Wells Fargo’s  external job application tool (Find a Job),  don’t use the same email address now — choose a new email address  to register as a team member.How to check your Wells Fargo email type:1. Open a new message in Outlook and click the To button.2. In the Global Address List search for your name.3. In the results list, right-click your name and select the “Properties” option.4. In the Properties window, click the “E-mail Addresses” tab and review your address listing. If your address listing contains “exchange.local,” please choose another email address  for your Jobs profile.Note: Update your contact email in the Jobs tool, not in your Teamworks profile. If you click Apply Now, update your email address on the Contact Information page of your application profile. If you are not applying now, you can go to the Job Search home page and click the Update Contact Information link at any time.",Part-Time,Not Specified
46383,Clerk,Service Corporation International,Westlake Village,California,"We are currently seeking a qualified and professional individual to provide administrative support and assistance as a Clerk at one of our premier locations in Westlake Village, CA. General duties may include greeting customers, providing funeral and cremation information and other related topics and answering phones in a courteous and polite manner.Perform day to day administrative duties as required which may include:Preparing death certificates and prayer cardsAccurately recording and delivering first call informationGreeting family members and friendsOperating a telephone system and handling a large call volumeCompleting required permits and/or certificatesActing as a Notary PublicReceiving and/or processing paymentsOffice duties such as operating a fax machine, filing, inventory management, debit card machine, postage meter and scale and stereo/video system may be required from time to time",Part-Time,Not Specified
25502,Entry Level Caregiver / Home Health Aide,Home Instead Senior Care,Los Angeles,California,"Entry Level Caregiver / Home Health Aide
&nbsp;
Job Description 
&nbsp;
Do you enjoy getting to know people and building relationships that will last? Do you have a heart for helping those in need? If so, this entry level Caregiver role could be just the fit for you!
&nbsp;
As a Caregiver / Home Health Aide, you will provide a variety of non-medical services for seniors in their homes, allowing them to be safe and stay independent. At Home Instead Senior Care, we strive to provide compassionate and reliable home services to enable seniors to remain at home. Established in 1994, we&rsquo;ve grown from a handful of local families to over 1,000 franchises nationally and internationally. We support those that are a part of our team, offering competitive pay and benefits as well as a variety of shifts.
&nbsp;




Entry Level Caregiver / Home Health Aide - Healthcare



&nbsp;
Job Responsibilities
&nbsp;
Our Entry Level Caregivers / Home Health Aides provide companionship and conversation for our clients, enhancing the lives of aging adults throughout our community.
&nbsp;
Caregiver duties include:
&nbsp;

    Light housekeeping and preparing meals
    Reminding clients of medications and appointments
    Assisting with grooming, bathing, toileting, and incontinence issues
    Caring for clients with Alzheimer&rsquo;s
",Full-Time/Part-Time,Not Specified
46208,ESL INSTRUCTOR,Computer Systems Institute,Boston,Massachusetts,"The English as a Second Language (ESL) instructor will teach all aspects of the ESL Program, including all levels. The instructor will be responsible for planning and delivering ESL curriculum. Along with the classroom hours, there will be a strong focus on computer-based instruction.Essential Job Duties and Responsibilities:•Teach ESL courses at beginner, intermediate, and advanced levels.•Prepare lesson plans.•Deliver grammar lectures or facilitate projects on various subject matter areas.•Assist students in the learning process.•Evaluate and monitor students’ progress.•Keep necessary records to report satisfactory academic progress (SAP) to the Director of Education.•Attend quarterly ESL instructors’ in-service meetings.•Stay abreast with the novelties in ESL studies by attending professional development activities outside of CSI.•Organize and lead field trips for students at least once per quarter.•Actively contribute to program improvement.•Provide academic advising and support to students.Required Knowledge, Skills, and Abilities:•Knowledge of pedagogical methods teaching ESL.•Knowledge of project-based learning (PBL).•Knowledge of blended learning methodology (BLM) in teaching ESL.•Native or near-native ability to speak English.•Ability to use the following equipment and software packages with proficiency:•Microsoft Office Suite•American Speechsounds (AS) software•Ability to use online learning tools, such as Tell Me More (TMM)Education and Experience:The position requires a BA degree in any liberal art field. Some teaching experience required, ESL teaching experience is a plus.",Part-Time,Not Specified
55975,"Staff RN, Rehab Unit, 0.5FTE Nights, Cherry Hill",Swedish Health,Seattle,Washington,"Where you work matters! Swedish Medical Center is looking for a part time Staff Registered Nurse in the Inpatient Rehab Unit at Swedish Cherry Hill in Seattle, WA. 
Swedish Medical center has an opportunity available for an experienced Staff Registered Nurse.  This opportunity is targeted to the individual nurse skilled in providing excellent care adapted to the individual patient needs based on the nursing process. 
In this position you will\: 

Be responsible for providing excellent and adaptive nursing care based on the individual patients needs using the nursing process. 
Be responsible for delegation and supervision of personnel which participate in the provision of care to ensure that patient needs and expected treatment outcomes are met. ",Part-Time,Bachelor's Degree
53195,CNA - 5 North - PRN,CHRISTUS Health.,Alexandria,Louisiana,"The Technical Partner is qualified to attend to the needs of the Patient area, performing duties as indicated by the responsibilities checked above under direct supervision of the unit charge person.  The Technical Partner is trained in the delivery of age appropriate care by hospital policy.  Performs assigned tasks in accordance with the hospital’s philosophy, values, standards, policies and procedures. 









Whether your skills lie in patient care or administration and you prefer to work in not-for-profit health care, CHRISTUS Health facilities may have a career opportunity for you. CHRISTUS Health and our facilities are committed to being an equal opportunity employer as part of our on-going mission. It is the policy of CHRISTUS Health not to discriminate on the basis of race, color, creed, religion, gender, orientation, disability, age or national origin.CHRISTUS Health is committed to providing meaningful benefits for you and your family and to sharing with you the prosperity you help create. We support our health care teams with competitive compensation and an outstanding benefits package. Medical Health CoveragePrescription Drug PlanDental CoverageVision CoverageLong-Term DisabilityGroup Term LifeAccidental Death & Dismemberment",Part-Time,High School Diploma
27334,Home Depot Product Assembler,Advantage Sales & Marketing,Providence,Rhode Island,"Home Depot Product Assembler Home Depot Product Assembler is a handyman that is mechanically-inclined to assemble equipment in stores nationwide. The contracted assembler must be able to read and understand schematics in order to assemble a variety of Home Depot products such as BBQ grills, lawn mowers, lawn furniture and other outdoor equipment upon request. Home Depot floor displays require flawless execution while paying attention to detail. Position includes up to 80 hours of paid training. Upon completed training the position becomes commission-based per unit completed. All piecework must meet standard requirements. Candidate must be able to work with minimal supervision and have reliable transportation. Home Depot Product Assembler ResponsibilitiesReflect Home Depot objectives by ensuring all authorized client items are correctly assembled to specificationsUphold criteria of a Home Depot employee by reflecting the brand vision and valuesIncrease sales volume by providing accurate prominent knowledge of displayed itemsProvide customer service by suggesting alternate solutions to their wants and needsUpdate supervisor with suggested display solutions based on customer feedbackMaintain store coverage as assigned by your direct supervisorProactively alert Management of any unsafe act or condition to prevent injuries Home Depot Product Assembler QualificationsHigh School Diploma or equivalent job-related experienceAvailable during weekdays 7AM-4PM (weekends during peak holiday season)Previous retail assembler experience preferredBasic tool knowledge such as cordless drill, sockets, screwdriver, wrenches, hammer, box cutterDemonstrates skills and behaviors pertaining to Achieving Results, Initiative when assembling productA dynamic, upbeat salesperson that exudes high energy and execution excellence.Strong self-management skillsAbility to stand, walk, bend and/or stoop, crawl and/or climb, kneel, push, pull, operate mechanical machinery, and lift up to 50 lbs.Use feet and/or legs for repetitive motion left/ right, simple grasping (pushing pulling arm controls), fine manipulationDaily access to a Smart Phone, Tablet, or PC computer with internet/email accessAdvantage Sales & Marketing, LLC is proud to be an Equal Opportunity Employer 








Responsibilities




Advantage Sales and Marketing, LLC (ASM) is one of North America’s leading sales and marketing agencies specializing in outsourced sales, merchandising, category management and marketing services to manufacturers, suppliers and producers of food products and consumer packaged goods. ASM services a variety of trade channels including grocery, mass merchandise, specialty, convenience, drug, dollar, club, hardware, consumer electronics and home centers. We bridge the gap between manufacturers and retailers, providing consumers access to the best products available in the marketplace today. Position Summary The Assembler is contracted to assemble BBQ grills, wheelbarrows, and various products as requested in Home Depot stores. Essential Job Duties and ResponsibilitiesAssembly: Maintain client objectives by ensuring all authorized client items are assembled to specifications.Sales: Increase sales volume through gaining incremental assembly work.Administration/Reporting/Communication: Ensure store call information is accurate and provided daily for proper piece rate payment.  Provide timely feedback and suggested solutions on Market issues to your direct report.Call Coverage: Maintain store coverage as assigned by your direct report.Safety: must have the ability to perform the job safely by demonstrating full awareness of his/her surroundings.  Will utilize proper safety techniques and equipment use when necessary.  Will be proactive in alerting Management of any unsafe act or condition to prevent injuries.Customer Relations: Gain working knowledge of customer relations by working with customers and store personnel. Build rapport with customers.  Promote ASM Home Center/Hardware division, as the premiere agency in the industry. Must have the ability to communicate effectively both internally and externally with all customers.  Must be prepared to field questions and proactively develop plans of action in regards to resolving issues.Store Conditions: Achieve client goals and objectives by effectively managing assembly quantities within your assigned stores and executing all responsibilities.Clients/Brands Represented: Know the clients and products the company represents.Supervisory Responsibilities  Direct ReportsThis position does not have supervisory responsibilities for direct reports Indirect ReportsDoes not have direct reports, but may delegate work of others and provide guidance, direction and mentoring to indirect reports Travel and/or Driving Requirements Travel and Driving are essential duties and function of this job Travel up to   varies based on territory ",Part-Time,High School Diploma
45300,Experienced Sheet Metal Mechanice/ CNC Press Brake Setup Operator - Newport News,The Onin Group,Hampton Roads,Virginia,"Hampton Roads Staffing Agency seeking responsible and dependable Press Brake Operators for a customer&nbsp;in the Hampton Roads Area. This is a temp to perm position with openings on the 1st and 2nd shifts.&nbsp;Must have experience!
&nbsp;



",Seasonal/Temp,High School Diploma
81217,General Duty,Service Corporation International,Coppell,Texas,"We are currently seeking a General Duty associate for one of our premier locations in Coppell, TX.  The ideal candidate will be responsible for carrying out tasks as assigned by management. Depending on the location, these tasks can range from serving client families during funerals and visitations to assisting in removals and transfers to general cleaning and upkeep of the building both inside and outside. The foregoing duties are intended as examples and not limitations on the functions of this position. Provide support under the direction of the Funeral Director. Specific tasks assigned may include, but not be limited to the following:   Directs or escorts mourners to parlors or chapels in which wakes or funerals are being held Greets people at the funeral home Offers assistance to mourners as they enter or exit limousines Acts as a pallbearer Arranges floral offerings or lights around caskets Carries flowers to hearses or limousines for transportation to places of interment Cleans and drives funeral vehicles in funeral processions Performs a variety of tasks during funerals and visitations to assist funeral directors and ensures that services run smoothly as planned Places caskets in parlors or chapels prior to wakes or funerals Cleans funeral parlors and chapels Assists licensed embalmers or apprentices with removals and transfers of the deceased to the designated location Ensures all SCI policies and procedures are carried out for each removal and transfer ",Part-Time,Not Specified
44625,Entry Level Caregiver / Home Health Aide,Home Instead Senior Care,Las Vegas,Nevada,"Entry Level Caregiver / Home Health Aide
&nbsp;
Job Description 
&nbsp;
Do you enjoy getting to know people and building relationships that will last? Do you have a heart for helping those in need? If so, this entry level Caregiver role could be just the fit for you!
&nbsp;
As a Caregiver / Home Health Aide, you will provide a variety of non-medical services for seniors in their homes, allowing them to be safe and stay independent. At Home Instead Senior Care, we strive to provide compassionate and reliable home services to enable seniors to remain at home. Established in 1994, we&rsquo;ve grown from a handful of local families to over 1,000 franchises nationally and internationally. We support those that are a part of our team, offering competitive pay and benefits as well as a variety of shifts.
&nbsp;




Entry Level Caregiver / Home Health Aide - Healthcare



&nbsp;
Job Responsibilities
&nbsp;
Our Entry Level Caregivers / Home Health Aides provide companionship and conversation for our clients, enhancing the lives of aging adults throughout our community.
&nbsp;
Caregiver duties include:
&nbsp;

    Light housekeeping and preparing meals
    Reminding clients of medications and appointments
    Assisting with grooming, bathing, toileting, and incontinence issues
    Caring for clients with Alzheimer&rsquo;s
",Full-Time/Part-Time,Not Specified
74368,Results Oriented Administrative Assistant,OfficeTeam,Westborough,Massachusetts,"Ref ID: 02160-116481Classification: Secretary/Admin AsstCompensation: $12.82 to $13.50 per hourOfficeTeam currently has an opportunity for a results oriented Administrative Assistant who is looking to get involved in the insurance industry. In this role, you will perform administrative and office support duties for multiple supervisors. Responsibilities will include fielding telephone calls, answer telephone, data entry and assist in contents inventory pricing, which entails replacement cost research of household items, clothing, furniture, antiques, etc.",Seasonal/Temp,Not Specified
45444,Organizational Development Intern Job,IRI,Chicago,Illinois,"The Company:
Founded in 1979 as Information Resources, Inc., IRI is the world’s leading innovative partner that helps clients turn insights into impact at every level of their organization. IRI enables consumer packaged goods, retail and healthcare companies to drive growth by better understanding their business, their consumers, and the market. 
 
Now privately held, IRI serves as a holding company for the equity interests of IRI shareholders. With our majority owner, New Mountain Capital LLC, we have secured the growth capital necessary to continue our transformational momentum. New Mountain Capital is a New York-based private equity firm committed to IRI’s long-term investment strategy of delivering meaningful growth to our clients.  Our strategy is comprised of six key principles: 1) Delivering robust operating performance; 2) Providing forward-looking insights; 3) Delivering revenue and growth acceleration strategies to our CPG and Retail clients; 4) Serving as the authority on Big Data; 5) Helping our employees and clients reach their full potential and; 6) Global expansion.
 
As the originator and innovator of marketing insights, IRI is evolving into a global provider of predictive, on-demand business insights applications.
 
Learn more at www.iriworldwide.com
 
Reporting Relationship: 
 
The intern will report directly to the Director, Organizational Development. 
 
Responsibilities:
 
As a critical member of the human resources team, the Organizational Development Intern will be responsible for providing logistical and content support around employee engagement, leadership development and team effectiveness.  The intern will have several key responsibilities including:

Liaising with the global HR team to coordinate the logistics of a global engagement survey including accuracy of historical data, local demographics and global rollups, project timing and distribution of survey, participation status updates, data presentation templates and troubleshooting
Research what best in class organizations are doing to create a culture of performance and development feedback and coaching and recommend ideas to leverage and incorporate
Support the 2015 Performance management communication plan including managing the calendar, drafting of key communication and assistance in reviewing, simplifying and streamlining performance management content and packaging into toolkit for mid-year discussions on development
Track and follow up on year-end evaluations for 2014
Supporting leadership programs and team effectiveness workshops including 1) collaborating on content creation 2) coordinating logistics and materials and 3) conducting program evaluations, analyzing data and making recommendations that could improve overall program impact
Design new and existing content on micro-site on SharePoint to support ongoing engagement of managers around topics covered in leadership workshops
 
Position",Part-Time,Not Specified
37033,Social Service Worker,The Bair Foundation,Austin,Texas,"As one of the nation's fastest growing Christian foster care ministries, The Bair Foundation is currently seeking a part time or full time Social Service Worker in Austin, TX. Core Responsibilities: 1. Facilitates placement of children in foster and adoptive homes. 2. Participates in development of assessment, service delivery, discharge, and aftercare planning. 3. Assists and monitors families in the compliance of licensing/regulatory standards. 4. Implements Intake Studies and Individual Service Plans in conjunction with foster parents and clients, as well as other professionals involved in the case within applicable standard (every 180 days) and submits for supervisory approval. 5. Participates in case planning conferences, Professional Consulting Team, ARD (school) meetings, court hearings, staffing, etc. 6. Maintains regular contact with family and child and monitors psychological, mental, emotional, physical, and environmental well-being through phone contacts, email, and home visits. 7. Provides resource information and referrals to community organizations for therapeutic treatment such as behavior modification, stress management, and therapy to assist client in controlling disorders and other problems. Also assist with securing respite services for families. 8. Helps families develop a therapeutic milieu conducive to healthy child development. Delivers direct therapeutic intervention to child and family. 9. Provides crisis intervention as needed to prevent escalation of high-risk behavior, relapse, hospitalization, placement disruption, and other negative outcomes on a 24-hour on-call basis. After hour on-call is on a rotating basis. 10. Submits completed action sheet for placements, discharges, etc., within 24 working hours of action to the National Office accounting staff. 11. Completes Incident Reports within 24 hours or the next business day of the event. 12. Completes service plans within 72 hours of admission for each specialized child. 13. Provides consultation for foster parents, adoptive parents, biological parents, respite providers, child care staff, and other caregivers as indicated. 14. Maintains accurate and complete case notes, treatment plans, progress notes, and other documentation according to licensing, accreditation, and agency standards. 15. Consults with medical doctors, therapists, and other specialists, and/or treatment team members concerning treatment plans and amends plans as needed. 16. Attends staff meetings, seminars, and professional conferences. 17. Facilitates foster parent support groups, in-service training, and pre-service training as assigned by the Director of Social Services. 18. Inputs and updates child and family information into the NAG system. Ensures that appointments for diagnostic assessments are scheduled and completed within 30 days of placing a child. 19. Conducts quarterly evaluations, creates corrective action plans and monitors foster homes. 20. Develops a Family Training Plan for assigned families.The Social Service Worker must possess a Bachelor's Degree in social services or related field along with two years of experience in working with children and families a plus! 1. The ideal candidate will have excellent writing skills for case notes. 2. The SSW should be able to develop trust with families in order to assist them with effective care for children in their home. 3. Valid Texas driver's license, appropriate insurance and reliable car. 4. Must successfully pass all background screens and TB screening as required by the state. ",Full-Time/Part-Time,Bachelor's Degree
64433,Guest Service Associate,Destination XL Group,Houston,Texas,"Guest Service Associate - Destination XL General Summary:The primary focus of the Guest Service Associate is to be a customer service and product knowledge expert who is committed to building and sustaining a long term relationships with our customers by providing an environment that enhances the buying experience. They are accountable for helping to drive sales and profitability. Our Sales Guest Service Associate must adhere to all company guidelines, procedures and applicable state and federal laws to ensure efficient daily operations. They must demonstrate high standards of performance and exhibit those standards. The ability to develop and maintain long term customer relationships is critical.Essential Duties & Responsibilities:Ensure each customer is welcomed into the store in a warm and genuinely sincere manner.Help create and maintain a store culture focused on the customer, enhance the buying experience and build relationships that lead to long term business growth. Demonstrate detailed knowledge of all products and services.  Assist Sales staff with guest interactions as necessary to ensure an exemplary guest experience.Positively affect profitability in the areas of customer service, sales, inventory/ expense control and risk management. Accurately and efficiently ring sales on registers and maintain cash/credit according to strict handling procedures.Maintain an awareness of all promotions and advertisements.Responsible for effective implementation of all visual merchandising standards and operational direction.Ensure that standards are being followed including floor sets, cleanliness, marketing, signage and sales promotion.  Help create merchandise presentations and displays that have impact, are customer focused and maximize sales. Ensure each customer is connected to the brand by engaging him/her in our loyalty program and turning them into DXLG “fans” by encouraging return visits.Ensure a unique, memorable and emotional customer experience.  The word “NO” is not in our vocabulary – we must strive to be the customer’s “Champion”!#CB1",Part-Time,High School Diploma
81230,Temporary Payroll Clerk,Find Great People,Columbia,South Carolina,"&nbsp;
Downtown Columbia client needs an experienced, reliable and detail oriented payroll clerk to fill in for 6 months.&nbsp; This role is responsible for payroll from beginning to end which includes setting up salary information, inputting hours, taking out garnishments, taxes, send file for retirement funds,&nbsp;etc. There are 200 full time employees that get paid monthly and around 150 - 200 other workers that get paid monthly as well but two weeks apart.
&nbsp;
This role is also responsible for approving invoices to be paid - ensuring all approving signatures are present, money is available in the GL account, etc and then passes it to AP. They will also be compiling three monthly reports.
&nbsp;
",Seasonal/Temp,Not Specified
73339,Customer Service Representative,OfficeTeam,Spokane,Washington,"Ref ID: 03650-110313Classification: Customer ServiceCompensation: $12.00 to $12.00 per hourA local non-profit agency is for a Customer Service Representative to help with their upcoming calling campaign. Individuals with phone sales experience and great customer service skills, this is for you. If you don't have customer service experience or wanting to get more experience in this field you are also encouraged to apply as you do get training on site. Duties Include: --Making outbound calls --Delivering exceptional customer service --Coordinating information",Seasonal/Temp,Not Specified
79704,* Panera Bread Night Bakers - Join us for great opportunities in Maplewood!,Panera Bread,Maplewood,Minnesota,"

 
NIGHT SHIFT BAKERS

Opportunities are available at:
2515 White Bear Avenue - Maplewood, MN 55109

Join the Fast-Paced Fun at Panera Bread! 

Bakers -- Night Shift opportunities 

We take our craft seriously. Baking is central to the Panera Bread essence of warmth and quality. We use our expertise and take the necessary steps to create the best quality bread and baked goods. We work diligently and with flexibility to coordinate our daily responsibilities and uphold the procedures that ensure we deliver the high-quality products our customers love.

For immediate consideration, please apply online at PaneraBread.jobs.  


We offer our teams a place where we take care of you, your family and your community!

    Flexibility in your work schedule 
    Variety of health and related benefits 
    A rewarding place to work that gives back to all 
    Wholesome food 
    Paid vacation 
    KinderCare tuition discounts 
    Family tuition discounts with College for America 
    Discounted meals during your shift 

",Full-Time/Part-Time,Not Specified
60517,Billing Clerk,Accountemps,Sacramento,California,"Ref ID:00390-138388Classification:Billing ClerkCompensation:$14.00 to $16.00 per hourBilling Clerk Accountemps is currently recruiting for billing clerk for a temporary position in the Sacramento area. The duties of the billing clerk are as follows: Complete transactions for billing, receive customer information , handle reports of customer accounts, general office duties, research customer accounts, basic accounts receivable and accounts payable 2+ years of recent experience Intermediate excel is required To be considered directly for our billing position please email your resume to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
24018,Administrative Assistant,OfficeTeam,Hudson,New Hampshire,"Ref ID: 03970-003429Classification: Secretary/Admin AsstCompensation: $9.50 to $11.00 per hourMunicipality in the Nashua area is looking for an Administrative Assistant to support their team. The position will be responsible for assisting customers with permits and licensure, as well as administrative duties to support the staff (copying, filing, scanning). The position will run from Mid March through August 20 hours a week. Except for the months of April/ May, which will require 40 hours a week AM-F 8-430.",Seasonal/Temp,Not Specified
38012,Part-time Personal Care Attendant (1920-Crews),"Gentiva Health Services, Inc.",Winters,Texas,"I believe that better care begins at home.

The homecare and hospice industry&nbsp;is revolutionizing healthcare in America. And Gentiva is leading that revolution with exceptional clinical care, innovative solutions and uncompromising service. With Gentiva's recent acquisitions of Odyssey Hospice, Harden Healthcare, Girling Home Health and Hospice, we offer home health, hospice, therapy, rehabilitation and community care services throughout the United States.
&nbsp;
Gentiva has over 40 years of experience in healthcare.&nbsp; With over&nbsp;500 locations in 40 states, our clinicians care for more than 110,000 patients every single day.&nbsp; This affords us the opportunity to create best practices and develop them into industry-leading protocols and specialties.
&nbsp;
Girling Community Care,&nbsp;a Gentiva company,&nbsp;is currently&nbsp;seeking caring and dependable people&nbsp;to work in the homes of elderly or disabled clients. You will assist the clients by:



    Preparing meals
    Shopping
    Assisting with personal care
    Running errands
    Performing light housekeeping

",Per Diem,High School Diploma
71307,Shuttle Driver DOT,SP+,Chicago,Illinois,"MAIN RESPONSIBILITIES  Basic Function: Responsible for the proper and safe operation of shuttle buses, transporting passengers to and from designated locations.  Essential Duties and Responsibilities:  * Assisting customers with luggage and other traveling items. * Performing vehicle inspections, maintaining cleanliness of bus interiors, fueling of buses, logging trip counts and assisting disabled passengers. * Responsible for being at work every scheduled day, on time and in uniform. * Possess a valid CDL Drivers License with Passenger Endorsement and DOT Medical Card to be carried with driver, at all times, while on duty. * Have and maintain an acceptable DMV record. * Courteously assist customers by answering any questions they may have. If necessary, direct the customer to the Facility Manager for further assistance. * Report any known accidents, observed or suspected violations of Company policy, safety hazards or any unusual occurrence to the Facility Manager. * Communicate debris, water, oil spills and etc. to garage office. * Substitute for Cashiers or Valets, when necessary, if authorized. * Have a thorough knowledge of all areas of the garage, thorough knowledge of the major streets, landmarks and freeways in the area of the garage. * Assist Facility Manager with other duties as needed.   MINIMUM QUALIFICATIONS  Qualification Requirements: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.  Education Required: High School Degree or equivalent.  License Requirement: Per DOT Regulations, you will be required to have and maintain a valid CDL Class A, B or C Driver's License (depending on the location's hiring needs) with Passenger Endorsement.  DOT Medical Card: A Medical Examiner's Certificate (DOT Medical Card) is required.  Availability to Work: Special shift requirements, if any, will vary depending on a location's hiring needs. If applicable, availability to work 2nd shift, 3rd shift and/or week-ends may be required.  Language Skills: Ability to read and comprehend simple instructions, short correspondence, and memos. Ability to write simple correspondence. Ability to effectively present information in one-on-one situations to customers and other employees of the company.  Mathematical Skills: Ability to add, subtract, two digit numbers and multiply and divide with 10's and 100's. Ability to perform these operations using units of American money.  Appearance: Employees will be required to maintain a neat and clean appearance and be in complete uniform at all times.  Physical Demands: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  While performing the duties of this job, the employee is regularly required to stand; walk; and use hands to handle cash and equipment. The employee is required to reach with hands and arms and talk or hear. The employee is occasionally required to sit and climb or balance. The employee must occasionally lift and/or move up to 75 pounds.  Additional Information: This is a Part-Time Position located at Navy PierSpecial Shift Requirements May Include: Second and Weekends   SP+ is an equal opportunity employer committed in policy and practice to recruit, hire, train, and promote, in all job classifications, without regard to race, color, religion, sex, age, national origin, citizenship status, marital status, sexual orientation, veteran status, disability or other classes protected by federal or state law. SP+ does not tolerate harassment of or retaliation against any employee or applicant on the basis of these characteristics, or because the individual exercised his or her EEO rights. ",Part-Time,Not Specified
16038,Med/Surg CNA,MetroSouth Medical Center,Blue Island,Illinois,"Performs various direct patient care activities under the supervision of a Registered Nurse. Assists patients in dressing or undressing, bathing, or eating. Collects non-invasive body fluid specimens or gathers vital signs but does not start or administer intravenous fluids. Aids physicians and nursing staff members with procedures if needed. Documents patient interactions as needed.  Relies on limited experience and judgment to plan and accomplish goals. Performs a variety of tasks. Works under general supervision. A certain degree of creativity and latitude is required. Typically reports to a registered nurse or manager.",Part-Time,Not Specified
80383,Warehouse Associate - Part-time,NAPA,Mount Vernon,Illinois," Job Description   NAPA Auto Parts is seeking a skilled and energetic Warehouse Associate to join our growing team of professionals. Our Warehouse Associates are primarily focused on receiving, stocking, pulling, staging, loading and shipping merchandise.  As a Warehouse Associate, you will be moving the right auto parts to the right place with safety, precision and speed,  using an electronic scanner to pull parts, and pack and load them for shipment.Other responsibilities include:- Moving through aisles, rows and shelves- Having a keen sense for seeing, hearing and remembering part numbers and line codes- Lifting merchandise up to 60 lbs as needed- Maneuvering heavy equipment using hand trucks motorize cards, pallet jackets, etc- Helping team members maintain a clean, organized floor           Qualifications   NAPA Warehouse Associates should have the agility to bend to floor-level shelves and reach to upper shelves (eight feet) with the use of a stool or ladder when necessary. Our Warehouse Associates are also required to have the stamina to stand and walk for the entire work shift.Other requirements include:- Strength to lift 60 lbs of merchandise- Clear speaking and attentive listening skills- Motivated to train and learn- Desire to go above andbeyond the Job Description- Desire to be part of a fun and energetic team- Minimum 18 years of age- Pre-employment drug screen and background check    Closing Statement   NAPA was founded 1925 and since then, we've sped our way to become a powerhouse in the auto parts industry. Fueled by the popularity of the automobile, our name can now be seen on over 5,800 stores, 58 distribution centers, and 13,000 NAPA AutoCare facilities across the country, and we're not stopping there.Our 80 years of experience has made NAPA an industry leader in auto parts, but don't let our age lead you to believe we can't keep up with the changing times. We're not your grandfather's NAPA. As our vehicles become more advanced, we've adapted our business in ways that allow us to stay ahead of the curve. We're constantly updating our inventory of over 500,000 parts, opening new stores, reaching out to customers in new ways, and most importantly, we're hiring new talent to join our ranks.It's an exciting time to join our team and we need people like you to help us accelerate our business into the future. Our growth depends on the dedication and enthusiasm of our employees.  At NAPA, you'll be part a team that's building on an 80-year legacy of NAPA KNOW HOW, backed by the best employees in the world.Genuine Parts Company is an Equal Opportunity Employer M/F/V/H ~WD J2W:IND  ",Part-Time,Not Specified
